feat_list,hyper_param,fold,avg,std
0,1,3,369.8742859435425,173.18243664288966
0,1,5,313.1923889443599,95.81618981803406
0,1,7,337.28495224974284,227.8158996866859
0,1,9,281.83030779469834,141.9936555355985
0,1,11,280.7242924374402,158.80133436733163
0,1,13,283.69048690717375,151.91236150751826
0,1,15,279.3869647323948,161.01257739291117
0,1,17,265.87830309563583,179.56066872313679
0,1,19,266.9528239414087,175.2994284701074
0,1,21,263.8674381067361,179.42979472673534
0,2,3,343.13553526924443,160.95436042585948
0,2,5,312.4305628603289,154.1096727170615
0,2,7,303.8383770400181,211.93149530898867
0,2,9,287.2298560875818,194.23483201686022
0,2,11,282.10011434849616,209.3012813180999
0,2,13,283.7319829118061,207.78235251704962
0,2,15,280.0697677782237,210.74411515548877
0,2,17,264.98457377578404,228.70819381827198
0,2,19,263.55952116302376,225.93022931797407
0,2,21,260.2254152413809,231.8306226005867
0,3,3,351.5132038857607,169.2102461403184
0,3,5,323.6702429798953,151.113729516015
0,3,7,309.5074319316067,227.77595738843726
0,3,9,297.1432962764023,195.14088019968867
0,3,11,287.9876758776964,211.37050752996348
0,3,13,288.0019458690615,212.09459893213295
0,3,15,285.45113033710317,215.1485592933961
0,3,17,267.7931259076365,236.8198360615653
0,3,19,268.8959515624217,230.8591091808402
0,3,21,263.1651886140946,238.41049975476585
0,4,3,358.4080330426751,189.5171466881337
0,4,5,334.61829272797377,159.5049195193686
0,4,7,320.96003009256543,247.42896104107524
0,4,9,305.0634211326028,207.219929776885
0,4,11,290.75566955884625,224.43673850529825
0,4,13,294.53125068993063,223.16921823447527
0,4,15,290.034664739057,229.40417080336485
0,4,17,271.4095061443862,248.24905489400322
0,4,19,272.5478121685264,244.14779587591872
0,4,21,266.9136768916064,250.69552194912953
0,5,3,362.90150769609517,185.74283106870365
0,5,5,342.8296958712411,174.7675285553065
0,5,7,319.15811845876084,250.10286277421875
0,5,9,315.9330789347607,220.414237081822
0,5,11,300.765661822662,237.36033706641015
0,5,13,296.943248557758,241.83801572624358
0,5,15,292.6297710459069,247.14659012694523
0,5,17,281.55237497750005,262.1914933310762
0,5,19,281.69408376482147,260.13172559037065
0,5,21,276.8176171958624,265.582164333188
0,6,3,367.9450630863542,191.92827168619684
0,6,5,347.1440707208689,180.79132774979107
0,6,7,317.62600773297817,248.6168250519777
0,6,9,314.4672370642042,228.4951373896411
0,6,11,299.7812827418708,246.01320504670426
0,6,13,297.533228673238,249.71551265307872
0,6,15,293.06947184620185,255.0794278922065
0,6,17,278.50912824645394,269.5604474657567
0,6,19,279.50512527284735,268.09370377222325
0,6,21,273.997518108799,273.72583149633095
0,7,3,375.539957639566,195.36502028154237
0,7,5,351.48551342072284,183.41510219504408
0,7,7,320.7307263727209,259.4491974669445
0,7,9,312.4337128249322,233.91835177063925
0,7,11,298.1553132848882,250.43194212948464
0,7,13,296.3344011536298,252.88403176550526
0,7,15,294.82883372202525,258.1712530879088
0,7,17,279.88982670797304,272.02018587047445
0,7,19,280.38136909624734,270.69557590970646
0,7,21,276.01322924050993,276.2310034052079
0,8,3,372.70751848206396,197.69234341697234
0,8,5,353.04959543850686,186.94673485239372
0,8,7,321.4569511586825,260.07174185996604
0,8,9,320.4280873323937,241.5027368036659
0,8,11,305.3190892338964,260.42570827397805
0,8,13,304.53550660563195,261.71394025322985
0,8,15,299.10101730290427,268.32686264011335
0,8,17,285.7601668666984,282.48849194696885
0,8,19,284.72044972544523,280.35423830402306
0,8,21,279.6644294421275,286.01190165034586
0,9,3,375.2085049495012,203.0623575911178
0,9,5,356.8000169053406,192.1435529200481
0,9,7,327.03206785673007,264.2932066479671
0,9,9,325.1131040842582,242.4725065665445
0,9,11,309.33000118478395,261.5970329863051
0,9,13,307.5127993871876,263.5592362450033
0,9,15,302.20078291735166,270.11718481566396
0,9,17,287.0203576605859,284.6978711369864
0,9,19,286.81554203256127,282.1309603402609
0,9,21,280.697352735772,288.41218799508323
0,10,3,379.50967310102175,205.6577274073052
0,10,5,362.47143345417714,193.9576273984563
0,10,7,331.5598331178021,267.1276984589904
0,10,9,330.220799260027,247.0109581254371
0,10,11,314.0587735292527,265.25811505825135
0,10,13,312.0027276960002,269.13617663313687
0,10,15,307.2821581476501,275.1639415975798
0,10,17,292.994133512434,289.67220951599745
0,10,19,293.3434248518386,287.23633221221706
0,10,21,286.3453984886911,293.89037817181816
0,11,3,381.52736046578246,205.1922134565594
0,11,5,361.94680373338775,195.93094673754374
0,11,7,333.2109234658574,266.37810139486237
0,11,9,331.165553329377,249.37697094070097
0,11,11,315.66157018319785,267.0544621447037
0,11,13,316.3743593945785,272.1178011457734
0,11,15,310.3798589616747,278.22134683050035
0,11,17,294.88757983976444,291.80883080904744
0,11,19,295.09129022927027,290.51458392700107
0,11,21,290.06130937696287,297.42758540219404
0,12,3,382.9564559745169,208.11023984015392
0,12,5,366.4635837217453,199.0291541141807
0,12,7,334.00670318198576,269.6322816672293
0,12,9,334.46941235375374,247.4987425415086
0,12,11,319.9665409911793,266.0254988481436
0,12,13,317.3346091100929,270.7979806720246
0,12,15,312.2214422425062,276.7119603715964
0,12,17,295.55825969512205,291.353945864736
0,12,19,297.7404221321946,288.67682649968873
0,12,21,289.7978261824694,296.2070921244313
0,13,3,384.80942441078423,209.29368909686139
0,13,5,369.34103118241194,200.4303687129784
0,13,7,335.20538472049685,272.30676452604905
0,13,9,336.1443581774515,251.38881206550772
0,13,11,320.88744047279243,269.3446279117153
0,13,13,320.4210250820469,275.4387113143752
0,13,15,315.45009237015313,281.31355205398836
0,13,17,299.9821791640553,294.78496793820096
0,13,19,301.9460641738814,293.29525916397665
0,13,21,295.5718514817619,300.114028383697
0,14,3,388.133291568487,210.03852675154087
0,14,5,371.514378553259,201.51732794149314
0,14,7,334.18009471131256,273.22997577314857
0,14,9,337.80312202487545,254.8214199576336
0,14,11,323.11718826978836,271.23199876672925
0,14,13,322.1022189898412,277.4725974252936
0,14,15,316.7220701185699,283.96694897132767
0,14,17,302.66724525012347,298.5770826245144
0,14,19,302.7671714171059,295.7791276696494
0,14,21,296.2442837702524,302.50157551046806
0,15,3,392.26681681957376,212.51824970875228
0,15,5,374.953601997365,201.00202740299005
0,15,7,335.4221248061096,274.6274552707818
0,15,9,341.3887718210996,255.31906580910217
0,15,11,326.42125214955666,271.21334135686135
0,15,13,324.1735116044613,278.5278696522753
0,15,15,319.212495976183,284.7697649015558
0,15,17,304.43273483239494,298.76549099392867
0,15,19,305.0543673729717,296.9470019521404
0,15,21,298.98617660114843,303.51622001405025
0,16,3,396.38506537628496,213.8560283761157
0,16,5,378.9826770189696,202.87852701756262
0,16,7,338.23806885688657,274.6504321272613
0,16,9,344.47032885227895,255.01763983854843
0,16,11,329.023922735245,272.1174842711651
0,16,13,325.97724793962277,279.2058492616844
0,16,15,321.5006434930764,285.2657471756551
0,16,17,306.6013190227219,300.0432222268089
0,16,19,307.3515892972949,297.68850967161666
0,16,21,300.39967603610677,304.6447018042535
0,17,3,400.099473155657,215.52694028223573
0,17,5,382.08720519170583,204.54556340990268
0,17,7,341.26143012292596,276.2532949419696
0,17,9,344.8372003501202,256.3172450436431
0,17,11,329.968917858337,274.47391858272914
0,17,13,327.6087428762223,280.14210530922554
0,17,15,322.5390275409197,286.45186091803174
0,17,17,308.8734736234397,301.08724703220764
0,17,19,309.89030671470215,298.37683684940583
0,17,21,303.06791619812157,305.4026888779622
0,18,3,402.7239603012349,215.19547900000478
0,18,5,386.80563875315795,205.96417832485926
0,18,7,342.96835469220326,277.59958648992546
0,18,9,347.55468966059925,258.25764505646026
0,18,11,332.4830819907257,276.0153114356407
0,18,13,330.0198702615115,281.90135842796894
0,18,15,324.1897058462675,288.52545342433444
0,18,17,310.2569649447108,303.2238089172291
0,18,19,309.58162496998995,300.76434011127895
0,18,21,304.42491891282634,307.16073392374335
0,19,3,403.69357505317254,216.57598349528644
0,19,5,389.6349529790967,208.77626689375776
0,19,7,345.9511212031512,280.20855102545056
0,19,9,351.806110412719,258.64754409540205
0,19,11,337.1263768737867,278.38558431821326
0,19,13,332.05177920371665,283.6105662051982
0,19,15,326.5499346576383,290.18089245911494
0,19,17,312.4245815209056,304.5525422318251
0,19,19,312.1501339223879,302.7239321411599
0,19,21,305.6971781939173,309.4909281415601
0,20,3,404.9154835252736,216.492104613637
0,20,5,392.3135563448471,210.36674491423057
0,20,7,348.59765906488974,282.4508471909735
0,20,9,354.6660413422723,260.6419234965349
0,20,11,339.58354847547145,281.6286316720254
0,20,13,334.59303874507884,286.44241654399343
0,20,15,328.8241856689399,292.88684394429487
0,20,17,315.37240296613277,306.99209101573
0,20,19,315.27895663309516,305.1124613461883
0,20,21,308.4388873393932,312.13328610141696
1,1,3,342.48172254192576,171.02876003193194
1,1,5,272.18610379251993,107.63439339980067
1,1,7,316.9412711629711,223.1709720342238
1,1,9,264.08066443573256,123.35136101243366
1,1,11,255.31247794401824,130.53867262202448
1,1,13,247.51088933131692,141.95724788982386
1,1,15,248.890445278716,140.19946871012132
1,1,17,236.74059900808092,162.03128002250708
1,1,19,238.98834880208668,155.93367141858687
1,1,21,235.02682405069538,162.06838712990793
1,2,3,336.78648453987563,145.61111276577444
1,2,5,302.4313341953388,152.97867901470144
1,2,7,297.74803140541354,209.29185790211605
1,2,9,281.59127329369153,177.57633669925906
1,2,11,269.57164661461496,190.29249090759575
1,2,13,261.27745312530686,201.13799975945116
1,2,15,263.53067754521857,199.1012324662525
1,2,17,247.84725224682722,218.02984354612715
1,2,19,250.48087296740945,215.4581520795709
1,2,21,242.5209369046337,223.74602301559236
1,3,3,347.0389764214164,174.97903631514032
1,3,5,298.64535500944567,153.80681291196032
1,3,7,296.50259887748564,219.31579118843007
1,3,9,285.991732904674,178.57804573212684
1,3,11,275.20332641595746,191.4767730113811
1,3,13,266.8384206663905,201.57685721407628
1,3,15,268.0271741508244,201.021047953323
1,3,17,250.4412131825563,219.8777583758078
1,3,19,253.0645608313852,216.9362722950892
1,3,21,244.21529358166234,226.583394988893
1,4,3,339.2638943503844,189.53641214559764
1,4,5,305.6481245779402,167.47698012855503
1,4,7,295.9913818766892,248.39151253406342
1,4,9,285.7376523667799,197.86107833672415
1,4,11,281.09266562898443,209.66421209258877
1,4,13,272.78951993918236,219.69452475001725
1,4,15,271.66257821185803,221.2855752200855
1,4,17,255.82784477791114,238.53088864864029
1,4,19,256.1584068042721,236.3229967741053
1,4,21,247.93295947277224,246.25982223085697
1,5,3,338.5006081029711,193.43113694917588
1,5,5,316.74468814796353,184.87876057928148
1,5,7,300.5763485026008,262.24886480771676
1,5,9,295.1158534812181,218.87666250088444
1,5,11,285.31266310813004,230.79752208502094
1,5,13,274.51410923949504,242.6969515332692
1,5,15,272.88643586765755,244.73128016098858
1,5,17,256.5819508455475,259.57511414630414
1,5,19,256.6963112466093,258.8536495792724
1,5,21,248.48827690950614,267.6099570470532
1,6,3,347.7237142606263,197.93598301829033
1,6,5,321.40752092931115,189.32120389700188
1,6,7,297.9140223341612,265.7994804814233
1,6,9,300.6401321211664,232.97101199972383
1,6,11,292.30913854216413,245.19317697933596
1,6,13,281.1603437047675,257.2307410454042
1,6,15,280.78129063397387,259.0161002748651
1,6,17,263.72166927376384,272.7077625453896
1,6,19,262.0176784710242,273.66297178215746
1,6,21,254.75169514158932,280.9664215000573
1,7,3,352.238161479868,203.53360130155284
1,7,5,324.5973976845962,193.03130672216741
1,7,7,295.9005291379691,266.11749163505567
1,7,9,297.35155673360185,237.69773621191746
1,7,11,289.6995304515774,250.28000145155593
1,7,13,279.4479879101787,260.94909960852414
1,7,15,277.26587554639593,264.35729180396095
1,7,17,263.02916789327503,275.7560056141876
1,7,19,263.2842279914746,275.7660616152897
1,7,21,255.33732932685447,283.12231512310535
1,8,3,354.79904051357215,206.04910598034886
1,8,5,325.5598486499934,193.6261332441087
1,8,7,296.66746101209225,264.2495138303636
1,8,9,301.19622638757954,238.47589849965078
1,8,11,289.6341166560768,252.32487750074614
1,8,13,279.9377147278826,263.1440537765824
1,8,15,276.94090006788906,266.3924562961504
1,8,17,262.732809039118,277.45583014008577
1,8,19,262.6022978529041,277.83837424382773
1,8,21,254.72196163532317,285.4758377071359
1,9,3,358.70460834165243,209.4624417745658
1,9,5,334.3812364841758,198.50816219804582
1,9,7,302.6573515037886,267.79136542964005
1,9,9,305.3953080280478,237.82378165986952
1,9,11,292.00425005759575,252.94578576627188
1,9,13,282.89408355163016,262.7258229703531
1,9,15,279.9984783730503,266.698813317092
1,9,17,267.74765113824515,277.38851718304306
1,9,19,265.8934668979272,277.7757205636127
1,9,21,258.7361747833212,285.17491254124906
1,10,3,363.26832852904636,215.675102362997
1,10,5,342.32458028070033,202.7978835998802
1,10,7,307.78415460970473,271.0897100854804
1,10,9,310.66713455527093,241.07430604756394
1,10,11,296.1551886466963,256.8901526422418
1,10,13,287.79292815137245,268.03613023991426
1,10,15,285.43315445877084,271.3933891046279
1,10,17,273.01162782339077,281.2659513784324
1,10,19,270.48609615064015,283.7285661785705
1,10,21,263.35511934055927,290.49737772912744
1,11,3,364.79553187277287,215.45462547506912
1,11,5,345.09099271631834,205.40199252546697
1,11,7,310.11198019333034,272.0783839330197
1,11,9,315.59502144797153,245.57566540641804
1,11,11,301.7666232168962,261.57154758347326
1,11,13,291.29856443215175,270.7300452149628
1,11,15,287.9393368133961,274.8117241637554
1,11,17,277.481887601773,285.33673489964633
1,11,19,274.37907375409554,286.13606949843444
1,11,21,266.74340132193976,293.6322639486134
1,12,3,364.8513698122276,217.3493861043933
1,12,5,349.2989323000714,206.03717263702535
1,12,7,309.8800118987068,275.98918725768567
1,12,9,317.21549415825496,249.5969738457023
1,12,11,304.0280783231984,265.22051554306773
1,12,13,292.6792133708754,275.13443705113184
1,12,15,288.79132065260075,279.4713364875134
1,12,17,278.5184512544635,289.6204955715681
1,12,19,276.5909160991832,290.09819961528524
1,12,21,268.76364106215885,297.56120895223074
1,13,3,365.4170493658449,213.06803155964832
1,13,5,347.8901883549073,208.72372065937384
1,13,7,310.22097996701797,277.71968453216266
1,13,9,320.29867597150707,253.01563380208694
1,13,11,306.39731097648837,268.113850065022
1,13,13,294.75160022286644,278.84948741255215
1,13,15,290.69094490174814,283.13846587076887
1,13,17,282.29075424710027,292.92484049772753
1,13,19,277.9529412484965,294.34694367521445
1,13,21,271.99115666471596,300.79612202422936
1,14,3,365.26412468047687,215.2761010682818
1,14,5,350.8715761595948,208.88249961225296
1,14,7,312.5283829498545,281.741337787333
1,14,9,320.2684547476553,254.32915667065157
1,14,11,307.1589410261831,270.2886802606122
1,14,13,297.0842180925916,280.9915364485769
1,14,15,293.137832053659,285.4648773550511
1,14,17,281.8714466056148,294.73907031930935
1,14,19,278.3672561005889,297.31098808927084
1,14,21,272.11490430073417,303.85803031419033
1,15,3,366.45699530485064,217.08135372282354
1,15,5,353.2692894802564,211.50237298465336
1,15,7,312.5987344295908,282.1900969908286
1,15,9,321.5878964398038,258.8195500777707
1,15,11,308.6965887848395,271.26344324377914
1,15,13,298.4520336282691,284.83616688987325
1,15,15,294.670319943835,289.1427177601601
1,15,17,284.83220948677024,298.67313527670063
1,15,19,282.280518840538,300.18961189453273
1,15,21,274.07997478992155,307.54850919163397
1,16,3,368.4133400131321,220.27177737344175
1,16,5,352.709563456646,211.88114728958988
1,16,7,313.53550754341893,283.3822009029751
1,16,9,322.7692533037306,258.78367552310357
1,16,11,309.9441146280555,273.45404679140466
1,16,13,299.5490298479072,286.1396007181308
1,16,15,295.2147420463812,290.72550651239067
1,16,17,284.62182968301966,299.45140075389435
1,16,19,281.6656644024566,302.160458163617
1,16,21,274.9813944929643,308.79118569860543
1,17,3,368.1896764195015,222.40486446225316
1,17,5,355.0731632545764,211.9681236395327
1,17,7,312.9541902924812,284.94700117579276
1,17,9,323.62613098459474,260.49435557468547
1,17,11,309.1621665578179,273.67362057437305
1,17,13,298.9928980758033,287.23349818714667
1,17,15,295.0388664739147,291.7563843390751
1,17,17,285.60156106841805,300.66727446478006
1,17,19,282.67685465711224,302.8876222398886
1,17,21,275.705037254166,309.5933943425887
1,18,3,370.57652983952426,224.24218178524674
1,18,5,356.97251575614854,213.27465563261222
1,18,7,314.2748367368552,283.3762423678985
1,18,9,325.0063967601393,262.6915901458401
1,18,11,311.9624951372414,274.6790481196636
1,18,13,299.78678233946533,289.6587876126506
1,18,15,296.582217945633,293.9054345543207
1,18,17,286.0841324012444,303.6782811772082
1,18,19,282.41223220819387,305.7039876751089
1,18,21,275.3793515529582,312.3541190743455
1,19,3,372.1696265394623,226.20303980357738
1,19,5,360.66139594678236,215.40440572950016
1,19,7,313.2178062376397,285.0664737498897
1,19,9,324.87031739837425,262.34656875593197
1,19,11,311.28557129054167,277.31256345718054
1,19,13,300.49330672546887,288.9918596053394
1,19,15,296.7285864056994,293.4562811598477
1,19,17,288.07981946688096,302.66414636402016
1,19,19,284.1943172959719,304.91213109156706
1,19,21,277.055235629518,311.67956228341603
1,20,3,374.39225985138665,226.14341155448878
1,20,5,361.7240135329611,216.1631967633711
1,20,7,315.32525462647163,285.89442571593645
1,20,9,325.55345422337075,263.52409703989844
1,20,11,314.23218165459826,280.1635502198016
1,20,13,301.8671291300673,290.031499988745
1,20,15,298.01278842548385,294.35119496552227
1,20,17,288.3477277310848,304.10879697356086
1,20,19,285.68530309181546,305.74494646670036
1,20,21,278.0991896516548,312.55532061022956
2,1,3,579.6427937528574,167.7821649788375
2,1,5,639.507606557234,150.92238434052732
2,1,7,608.3113381785337,254.06812513943726
2,1,9,604.5147008822805,252.0463749656106
2,1,11,592.4352291893628,284.9126132881573
2,1,13,569.6967292218872,326.4271003146801
2,1,15,554.5989677300654,314.4350851447269
2,1,17,545.2682433342803,331.53885663212884
2,1,19,547.1122381053144,329.3547944867106
2,1,21,544.4689802270437,335.2583776574882
2,2,3,516.6689342878913,154.21602290953888
2,2,5,584.113576649775,166.15598926982886
2,2,7,549.2791018717887,253.55368148091986
2,2,9,528.2114481548784,251.16740393839854
2,2,11,521.1867511206016,273.54501369320434
2,2,13,496.86251241342694,296.47814492995695
2,2,15,494.11724447658827,300.1377373640379
2,2,17,474.5618395914171,329.0893971633981
2,2,19,487.01309538204623,326.6551263930129
2,2,21,483.5764498669684,333.290300700282
2,3,3,532.8128383131258,140.4898004332275
2,3,5,564.1200267385177,166.77009393535536
2,3,7,516.1676216631486,248.819461186046
2,3,9,523.8751191672814,251.11922967781194
2,3,11,521.0469784785793,259.8249236496502
2,3,13,491.1464456339957,281.7945899832566
2,3,15,475.29096913626694,275.4376413191227
2,3,17,458.43248100579495,302.1716226465144
2,3,19,459.81743212862506,299.46543618386045
2,3,21,453.60875493529784,309.0128723106589
2,4,3,502.3938904463907,165.82354187560716
2,4,5,515.8199356243387,159.36900327712303
2,4,7,479.21450672824403,245.4811982420725
2,4,9,484.6540445980489,237.03747722709193
2,4,11,475.7017076447517,251.2247225673212
2,4,13,462.94017751328005,270.6188810671199
2,4,15,438.3057656348285,273.40904535947027
2,4,17,420.8714678748599,297.93741332407035
2,4,19,439.9132071871532,304.80738149626336
2,4,21,435.20305444260964,313.95573708762225
2,5,3,506.6215665254719,171.6501199078964
2,5,5,511.0090214905352,176.17223520933038
2,5,7,470.0168025525755,259.4690365987668
2,5,9,474.1886813361955,257.07095253167813
2,5,11,473.9635712514877,260.7415012324881
2,5,13,461.44547594575675,277.4406460223799
2,5,15,457.7014396895148,288.22991088359004
2,5,17,440.12195793972853,314.47059428984267
2,5,19,442.2357498360789,309.49311722963756
2,5,21,433.59158624001793,321.92941211180846
2,6,3,489.10906528277,172.9573057199271
2,6,5,497.1329111075423,182.6897348843642
2,6,7,454.9931737926428,262.2615890471394
2,6,9,461.8146387993821,259.7319414124474
2,6,11,457.5457361831777,266.4054700239987
2,6,13,445.86440590877976,278.4480701762421
2,6,15,442.88506297667124,290.42145655631793
2,6,17,422.54055814655203,315.87747498079636
2,6,19,428.40067361467163,310.68969266471237
2,6,21,421.4769131222593,320.30678444077785
2,7,3,483.1475213015808,179.5492088581872
2,7,5,485.06554043110975,196.04020412073834
2,7,7,442.6855693994809,273.32728821406374
2,7,9,451.6243796365535,267.75611893225505
2,7,11,449.2859953256609,274.8222264210803
2,7,13,436.8618105928755,288.53186926140603
2,7,15,433.5267894200512,298.7391923587772
2,7,17,414.45069052647324,321.3695069232857
2,7,19,419.0506405242451,318.70737054907414
2,7,21,412.6120002472162,327.071155653388
2,8,3,480.53251002791256,180.92611509104535
2,8,5,484.3175664930137,199.09105040624829
2,8,7,441.3861290652003,278.7151409717887
2,8,9,446.3924177792985,273.7868708078582
2,8,11,442.79455851283996,282.0685673339217
2,8,13,432.2477105900191,294.5047120651198
2,8,15,426.5185891976537,302.76059116404673
2,8,17,411.47302840165213,326.9407943092341
2,8,19,412.65665900725077,322.3400472938171
2,8,21,404.7636793858794,331.4947109037236
2,9,3,477.224958278975,184.89275326727255
2,9,5,481.10796005659984,195.61327424750527
2,9,7,437.20416103516163,276.23882756839436
2,9,9,444.8801066824102,268.2817292324519
2,9,11,438.82074614359476,277.2763192540848
2,9,13,429.4816114149684,290.53056093262796
2,9,15,423.70411063327464,298.2722402731238
2,9,17,407.08647866920217,322.38896591598285
2,9,19,408.59674832442,317.8772514540799
2,9,21,401.994566685337,326.97695966001174
2,10,3,475.40028284910204,190.7725260836558
2,10,5,475.20207422691635,194.14405965580954
2,10,7,431.1971960110125,275.7565315770442
2,10,9,441.90413181623586,264.4621767391454
2,10,11,435.578457689487,274.02649659168037
2,10,13,423.4562175545148,288.2599814390527
2,10,15,418.48557199936033,296.12989057263866
2,10,17,402.0055670483708,318.78247697476735
2,10,19,406.6600457957834,314.7724822370733
2,10,21,399.53013852576635,323.40507357142604
2,11,3,476.64148846998734,193.57246047831427
2,11,5,471.6344013072847,197.88862887583653
2,11,7,428.3560928828761,277.54094381427154
2,11,9,439.5083553545606,266.48638119530676
2,11,11,433.10658568364454,277.84050908122
2,11,13,421.3708001444604,291.55090382966245
2,11,15,417.80316633899025,297.63705885542004
2,11,17,400.4808855268684,321.251676092895
2,11,19,405.3378525805339,316.6340513661224
2,11,21,396.85877459486073,324.7429039783834
2,12,3,474.9761037726564,194.71560366288267
2,12,5,469.3856766135642,195.92359664235067
2,12,7,426.2018823116308,276.4992227858457
2,12,9,434.6344526538751,265.85987328236257
2,12,11,427.15047463538616,279.1714043821313
2,12,13,417.86603507616593,289.86222202374864
2,12,15,414.3106500332907,298.1631708926337
2,12,17,399.0386675203006,320.10629516116853
2,12,19,400.18859113826466,316.5421764563124
2,12,21,395.0199930502268,323.8835383072553
2,13,3,475.6406711348745,197.1947021179439
2,13,5,463.8792783621225,187.35206672586858
2,13,7,423.6839526296436,278.45982507896224
2,13,9,429.45817550624434,256.4353054205108
2,13,11,422.43899473561675,269.79349271300447
2,13,13,412.3762456317317,280.2094922381208
2,13,15,410.2197549266965,288.54317960932684
2,13,17,393.7215855537386,310.7243642675758
2,13,19,396.87164422884797,306.7298407029228
2,13,21,390.7934239826817,315.3330393279253
2,14,3,476.11171525700837,200.64140971414582
2,14,5,464.2980638152785,188.37105431253465
2,14,7,424.640538550518,279.4735550669439
